Catégorie,Manifeste IIIF,OCR-relu,Contributeur,Source,Ville,Lieu d'exposition (section unique),Titre de l’exposition,Année début,Mois début,Jour début,Année fin,Mois fin,Jour fin,Pays d'aujourd'hui,(État d'aujourd'hui),,Pays d’époque,Ville d’époque,,adresse complète de la section telle que dans le catalogue,numéro de rue de la section,Rue de la section,étage de la section,lieu dit de la section,complément d’adresse de la section
2 ou 3,,,,PDF Hathitrust,Venise ,?,VI Esposizione Internazionle d'Arte della città di venezia. Catalogo illustrato,1905,avril,22,1905,octobre,31,Italie ,,,,,,,,,,,
2 ou 3,,,,PDF Hathitrust,Venise ,?,Settima Esposizione Internazionle d'Arte della città di venezia. Catalogo illustrato,1907,avril,22,1907,octobre,31,Italie ,,,,,,,,,,,
2 ou 3,,,,PDF Hathitrust,Venise ,?,Ottava Esposizione Internazionle d'Arte della città di venezia. Catalogo illustrato,1909,avril,22,1907,octobre,31,Italie ,,,,,,,,,,,
2 ou 3,,,,PDF Hathitrust,Venise ,?,IX. Esposizione Internazionle d'Arte della città di venezia. Catalogo illustrato,1910,avril,23,1910,octobre,31,Italie ,,,,,,,,,,,
1,,,,PDF Hathitrust,Venise ,?,X. Esposizione Internazionle d'Arte della città di venezia. Catalogo,1912,avril,23,1912,octobre,31,Italie ,,,,,,,,,,,
1,,,,PDF Hathitrust,Venise ,?,XII. Esposizione Internazionle d'Arte della città di venezia. Catalogo,1920,avril,15,1920,octobre,31,Italie ,,,,,,,,,,,
1,,,,PDF Hathitrust,Venise ,?,XIII. Esposizione Internazionle d'Arte della città di venezia. Catalogo,1922,avril,15,1922,octobre,31,Italie ,,,,,,,,,,,
3,,non,LSR,ark:/13960/t9668gd1w (https://archive.org/details/japancatalogue00japarich/page/n6/mode/2up),Londres ,non,Japan-British Exhibition,1910,non,non,non,non,non,Royaume-Uni,,,,,,,,,,,
2 ou 3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6373975m/manifest.json,non,LSR,ark:/12148/bpt6k6373975m,Paris,Salle de la rue de Sèze,Exposition rétrospective de l'art japonais,1883,avril ,non ,non ,non ,non ,Fance ,,,,,,,,,,,
,,oui,LG,envoyé à BJP,,,,,,,,,,,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5470406r/manifest.json,,,ark:/12148/bpt6k5470406r,Paris ,Galerie Durand-Ruel,Salon de la Rose + Croix,1892,mars,10,1892,avril,10,France ,,,,,,,,,,,
3,https://gallica.bnf.fr/iiif/ ark:/12148/bpt6k54703109/manifest.json,,, ark:/12148/bpt6k54703109,Paris ,Palais du Champ-de-Mars,Second Salon de la Rose + Croix,1893,mars,28,1892,avril,30,France ,,,,,,,,,,,
,,,,https://www.aaa.si.edu/collections/items/detail/catalogue-international-exhibition-modern-art-new-york-481 (ou https://babel.hathitrust.org/cgi/pt?id=osu.32435012351060&view=1up&seq=10),New-York,Infantry Regiment Armory ,Armory Show (International Exhibition of Modern Art),1913,février ,17,1913,mars,15,États-Unis,New-York,,,,,,,,,,
,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6228041n/manifest.json,,BJP,ark:/12148/bpt6k6228041n,Bordeaux,Musée des beaux-arts,non (catalogue de musée - collection permanente ?),1910,non ,non ,non ,non ,non ,France ,,,,,,,,,,,
,,,,Ensemble des catalogues numérisés de l'exposition annuelle du Musée de Rouen : ark:/12148/cb32737973v ,,,,,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1181799g/manifest.json,,,ark:/12148/bpt6k1181799g,Rouen,Musée de Rouen,"Catalogue de la quinzième exposition du musée de Rouen
",1853,octobre ,20,non ,non ,non ,France ,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ ark:/12148/bpt6k1180625h/manifest.json,,, ark:/12148/bpt6k1180625h,Rouen,Musée de Rouen,"Catalogue de la seizième exposition du musée de Rouen
",1856,octobre ,1,non ,non ,non ,France ,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1181800p/manifest.json,,,ark:/12148/bpt6k1181800p,Rouen,Musée de Rouen,"Catalogue de la dix-huitième exposition municipale ouverte au musée de Rouen
",1860,mai ,15,1860,juin,15,France ,,,,,,,,,,,
